col1,col2,col3,col4,col5
2.95372,-1.727692,-0.3638263,1.399117,-1.352301
-0.3405294,0.6695569,-0.9862325,-0.4884643,0.4472644
0.2011315,-0.1281656,0.4063324,0.8575119,1.26538
1.311469,1.291602,-0.597371,0.5666696,-2.203537
-2.153995,-0.8270285,1.677745,0.3028673,1.131724
0.1240521,-0.9066516,-1.332865,0.3226603,-1.584975
-1.289537,0.8729565,-0.7778776,-0.9789263,0.1899181
0.08631451,-0.4429673,-0.4043621,0.2743882,-0.7542022
-0.3926021,-0.3577549,0.04131509,0.1937437,0.1738557
1.039286,0.05484181,0.1838664,-0.5328216,-0.5272883
